Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: Endeavor Air Inc. (9E)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","06/14/2008","2824","80239E","MSP","23:05","22:54","170","161","-11","22:48","6","0","0","0","0","0"
"9E","06/15/2007","5611","80209E","MSP","22:59","23:36","159","196","37","23:32","4","0","0","37","0","0"
"9E","06/15/2008","2824","80249E","MSP","23:05","22:58","170","166","-7","22:51","7","0","0","0","0","0"
"9E","06/16/2007","5611","84889E","MSP","22:59","23:00","159","160","1","22:56","4","0","0","0","0","0"
"9E","06/16/2008","2824","85879E","MSP","23:05","22:57","170","162","-8","22:53","4","0","0","0","0","0"
"9E","06/17/2007","5611","80209E","MSP","22:59","23:37","159","198","38","23:33","4","0","0","38","0","0"
"9E","06/17/2008","2824","80249E","MSP","23:05","22:36","170","146","-29","22:30","6","0","0","0","0","0"
"9E","06/18/2007","5611","88969E","MSP","22:59","23:38","159","175","39","23:34","4","23","0","16","0","0"
"9E","06/18/2008","2824","85249E","MSP","23:05","22:51","170","160","-14","22:47","4","0","0","0","0","0"
"9E","06/19/2007","5611","85259E","MSP","22:59","23:28","159","157","29","23:24","4","0","0","0","0","29"
"9E","06/19/2008","2824","80219E","MSP","23:05","23:32","170","161","27","23:28","4","0","0","0","0","27"
"9E","06/20/2007","5611","86659E","MSP","22:59","23:08","159","170","9","23:03","5","0","0","0","0","0"
"9E","06/20/2008","2824","84959E","MSP","23:05","22:39","170","151","-26","22:34","5","0","0","0","0","0"
"9E","06/21/2007","5611","85779E","MSP","22:59","23:02","159","161","3","22:58","4","0","0","0","0","0"
"9E","06/21/2008","2824","85259E","MSP","23:05","22:44","170","153","-21","22:36","8","0","0","0","0","0"
"9E","06/22/2007","5611","89709E","MSP","22:59","23:06","159","171","7","23:01","5","0","0","0","0","0"
"9E","06/22/2008","2824","80199E","MSP","23:05","22:45","170","152","-20","22:41","4","0","0","0","0","0"
"9E","06/23/2007","5611","80219E","MSP","22:59","23:02","159","166","3","22:55","7","0","0","0","0","0"
"9E","06/23/2008","2824","87339E","MSP","23:05","22:41","170","151","-24","22:36","5","0","0","0","0","0"
"9E","06/24/2007","5611","85779E","MSP","22:59","23:23","159","188","24","23:18","5","0","0","24","0","0"
"9E","06/24/2008","2824","87339E","MSP","23:05","22:55","170","165","-10","22:52","3","0","0","0","0","0"
"9E","06/25/2007","5611","89039E","MSP","22:59","23:03","159","166","4","22:58","5","0","0","0","0","0"
"9E","06/25/2008","2824","89089E","MSP","23:05","23:05","170","175","0","22:59","6","0","0","0","0","0"
"9E","06/26/2007","5611","84889E","MSP","22:59","22:53","159","156","-6","22:48","5","0","0","0","0","0"
"9E","06/26/2008","2824","86659E","MSP","23:05","23:23","170","179","18","23:18","5","9","0","9","0","0"
"9E","06/27/2007","5611","85809E","MSP","22:59","23:06","159","169","7","23:00","6","0","0","0","0","0"
"9E","06/27/2008","2824","80239E","MSP","23:05","22:37","170","147","-28","22:30","7","0","0","0","0","0"
"9E","06/28/2007","5611","84889E","MSP","22:59","22:34","159","138","-25","22:30","4","0","0","0","0","0"
"9E","06/28/2008","2824","86949E","MSP","23:05","22:46","170","150","-19","22:40","6","0","0","0","0","0"
"9E","06/29/2007","5611","87339E","MSP","22:59","23:50","159","140","51","23:46","4","51","0","0","0","0"
"9E","06/29/2008","2824","85879E","MSP","23:05","22:26","170","135","-39","22:21","5","0","0","0","0","0"
"9E","06/30/2007","5611","80199E","MSP","22:59","22:56","159","161","-3","22:53","3","0","0","0","0","0"
"9E","06/30/2008","2824","85879E","MSP","23:05","22:48","170","157","-17","22:42","6","0","0","0","0","0"
"9E","07/01/2007","5611","88969E","MSP","22:59","23:34","159","190","35","23:28","6","0","0","35","0","0"
"9E","07/01/2008","2824","80209E","MSP","23:05","22:43","170","150","-22","22:38","5","0","0","0","0","0"
"9E","07/02/2007","5611","80279E","MSP","22:59","22:43","159","155","-16","22:37","6","0","0","0","0","0"
"9E","07/02/2008","2824","85019E","MSP","23:05","22:41","170","151","-24","22:36","5","0","0","0","0","0"
"9E","07/03/2007","5611","87339E","MSP","22:59","22:58","159","161","-1","22:53","5","0","0","0","0","0"
"9E","07/03/2008","2824","89189E","MSP","23:05","22:58","170","167","-7","22:53","5","0","0","0","0","0"
"9E","07/04/2007","5611","87369E","MSP","22:59","22:47","159","147","-12","22:43","4","0","0","0","0","0"
"9E","07/04/2008","2824","80299E","MSP","23:05","22:34","170","145","-31","22:30","4","0","0","0","0","0"
"9E","07/05/2007","5611","80239E","MSP","22:59","22:41","159","144","-18","22:35","6","0","0","0","0","0"
"9E","07/05/2008","2824","85259E","MSP","23:05","22:41","170","151","-24","22:37","4","0","0","0","0","0"
"9E","07/06/2007","5611","80059E","MSP","22:59","22:39","159","144","-20","22:32","7","0","0","0","0","0"
"9E","07/06/2008","2824","85259E","MSP","23:05","23:44","170","167","39","23:38","6","39","0","0","0","0"
"9E","07/07/2007","5611","89149E","MSP","22:59","23:02","159","167","3","22:57","5","0","0","0","0","0"
"9E","07/07/2008","2824","84889E","MSP","23:05","23:22","170","164","17","23:15","7","0","0","0","0","17"
"9E","07/08/2007","5611","80059E","MSP","22:59","22:57","159","149","-2","22:52","5","0","0","0","0","0"
"9E","07/08/2008","2824","84889E","MSP","23:05","22:53","170","160","-12","22:50","3","0","0","0","0","0"
"9E","07/09/2007","5611","80279E","MSP","22:59","23:10","159","163","11","23:06","4","0","0","0","0","0"
"9E","07/09/2008","2824","85169E","MSP","23:05","22:41","170","149","-24","22:35","6","0","0","0","0","0"
"9E","07/10/2007","5611","85439E","MSP","22:59","22:57","159","156","-2","22:51","6","0","0","0","0","0"
"9E","07/10/2008","2824","84889E","MSP","23:05","23:01","170","166","-4","22:57","4","0","0","0","0","0"
"9E","07/11/2007","5611","89189E","MSP","22:59","23:04","159","163","5","23:00","4","0","0","0","0","0"
"9E","07/11/2008","2824","80219E","MSP","23:05","00:36","170","205","91","00:30","6","0","0","91","0","0"
"9E","07/12/2007","5611","89039E","MSP","22:59","23:20","159","177","21","23:14","6","0","0","21","0","0"
"9E","07/12/2008","2824","89039E","MSP","23:05","22:53","170","160","-12","22:46","7","0","0","0","0","0"
"9E","07/13/2007","5611","86729E","MSP","22:59","22:57","159","160","-2","22:50","7","0","0","0","0","0"
"9E","07/13/2008","2824","89039E","MSP","23:05","22:48","170","154","-17","22:44","4","0","0","0","0","0"
"9E","07/14/2007","5611","89189E","MSP","22:59","22:53","159","155","-6","22:46","7","0","0","0","0","0"
"9E","07/14/2008","2824","87339E","MSP","23:05","22:59","170","163","-6","22:55","4","0","0","0","0","0"
"9E","07/15/2007","5611","85249E","MSP","22:59","23:03","159","168","4","22:59","4","0","0","0","0","0"
"9E","07/15/2008","2824","80249E","MSP","23:05","22:40","170","155","-25","22:35","5","0","0","0","0","0"
"9E","07/16/2007","5611","86659E","MSP","22:59","23:14","159","176","15","23:07","7","0","0","15","0","0"
"9E","07/16/2008","2824","87339E","MSP","23:05","22:55","170","165","-10","22:50","5","0","0","0","0","0"
"9E","07/17/2007","5611","89189E","MSP","22:59","22:58","159","162","-1","22:50","8","0","0","0","0","0"
"9E","07/17/2008","2824","85069E","MSP","23:05","22:52","170","160","-13","22:48","4","0","0","0","0","0"
"9E","07/18/2007","5611","80279E","MSP","22:59","22:43","159","143","-16","22:36","7","0","0","0","0","0"
"9E","07/18/2008","2824","84959E","MSP","23:05","23:02","170","169","-3","22:59","3","0","0","0","0","0"
"9E","07/19/2007","5611","86659E","MSP","22:59","22:40","159","145","-19","22:34","6","0","0","0","0","0"
"9E","07/19/2008","2824","86659E","MSP","23:05","22:58","170","165","-7","22:53","5","0","0","0","0","0"
