Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: ExpressJet Airlines Inc. (XE)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"XE","06/02/2008","7657","N11184","SLC","20:38","20:24","55","47","-14","20:21","3","0","0","0","0","0"
"XE","06/02/2008","7660","N11176","SLC","10:38","10:32","55","52","-6","10:27","5","0","0","0","0","0"
"XE","06/02/2008","7668","N14177","SLC","11:53","12:08","55","53","15","12:05","3","15","0","0","0","0"
"XE","06/02/2008","7684","N13908","SLC","17:35","17:23","55","49","-12","17:19","4","0","0","0","0","0"
"XE","06/02/2008","7687","N16170","SLC","22:25","22:20","55","60","-5","22:16","4","0","0","0","0","0"
"XE","06/03/2008","7657","N12172","SLC","20:38","20:33","55","53","-5","20:29","4","0","0","0","0","0"
"XE","06/03/2008","7660","N17169","SLC","10:38","10:29","55","50","-9","10:25","4","0","0","0","0","0"
"XE","06/03/2008","7684","N11176","SLC","17:35","17:20","55","44","-15","17:16","4","0","0","0","0","0"
"XE","06/03/2008","7687","N11184","SLC","22:25","22:19","55","57","-6","22:15","4","0","0","0","0","0"
"XE","06/04/2008","7657","N12172","SLC","20:38","20:48","55","61","10","20:45","3","0","0","0","0","0"
"XE","06/04/2008","7660","N14173","SLC","10:38","10:45","55","62","7","10:41","4","0","0","0","0","0"
"XE","06/04/2008","7668","N17169","SLC","11:53","11:51","55","55","-2","11:48","3","0","0","0","0","0"
"XE","06/04/2008","7674","N14173","SLC","14:44","14:37","55","50","-7","14:31","6","0","0","0","0","0"
"XE","06/04/2008","7684","N16170","SLC","17:35","17:23","55","44","-12","17:19","4","0","0","0","0","0"
"XE","06/04/2008","7687","N11184","SLC","22:25","22:16","55","49","-9","22:11","5","0","0","0","0","0"
"XE","07/06/2008","7684","N14168","SLC","20:20","20:17","55","47","-3","20:13","4","0","0","0","0","0"
"XE","07/07/2008","7684","N12167","SLC","20:30","20:24","55","50","-6","20:20","4","0","0","0","0","0"
"XE","07/08/2008","7684","N16183","SLC","20:30","21:02","55","51","32","20:57","5","0","0","0","0","32"
"XE","07/09/2008","7684","N11176","SLC","20:30","20:21","55","48","-9","20:17","4","0","0","0","0","0"
"XE","07/10/2008","7684","N11176","SLC","20:30","20:23","55","53","-7","20:17","6","0","0","0","0","0"
"XE","07/11/2008","7684","N11176","SLC","20:30","20:24","55","52","-6","20:21","3","0","0","0","0","0"
